id,Longitude,Latitude
1,-124.5652359691,59.7105777039
2,-123.326527473,59.0874697937
3,-122.6055191723,58.4855410828
4,-121.754261848,57.8726260437
5,-121.5360001293,56.6182315125
6,-119.998768684,55.4052188172
7,-119.2302750316,54.6906192078
8,-118.0220841137,53.8640811219
9,-116.9283951488,52.9972598328
10,-115.9229630199,52.7194888367
11,-115.1556900707,52.1638247742
12,-115.0491226879,51.3443667664
13,-113.7004898754,49.7958438172
14,-112.2320450512,47.5071475281
15,-111.2173966137,47.4450137391
16,-110.1021622387,47.1235415711
17,-109.6215714184,46.1224429383
18,-107.773793098,45.7741763367
19,-106.6625870434,44.7687442078
20,-106.1069229809,43.8427188172
21,-105.1014908519,42.7050235047
22,-104.8898209301,41.5937564148
23,-104.4665421215,40.5883242859
24,-104.4665421215,39.5035464539
25,-104.3559528513,38.3874004426
26,-104.3559464184,38.3873355164
27,-104.1225479809,37.3604190125
28,-104.1225479809,36.4343936219
29,-104.5988053051,35.7728945984
30,-105.1544083324,35.4342105164
31,-106.0010880199,35.2702090516
32,-106.5928848949,35.2991397156
33,-106.6777960368,35.4018299501
34,-107.0065201488,35.7993838562
35,-107.0164078441,36.2326113953
36,-107.0174891808,36.2587084815
37,-107.0482681957,37.0015322937
38,-107.3806656566,37.0264346375
39,-107.4074546068,37.0293827947
40,-108.1548966137,37.1116397156
41,-108.4404190746,37.3972232117
42,-108.4201697351,37.4737966465
43,-108.3029679027,37.9169986023
44,-107.588612434,38.3657901062
45,-107.5749094861,38.4616791436
46,-107.5092056957,38.9214541687
47,-108.2365006176,38.8814151062
48,-108.964405891,39.2653872742
49,-110.2994888988,39.0152041687
50,-110.9752701488,38.3812930359
51,-111.7954605785,37.7308413758
52,-112.7744034496,37.3604190125
53,-113.1925297675,37.5804721372
54,-113.2677532031,37.6200610158
55,-113.2771500316,37.6250064148
56,-112.9067276684,37.9425112977
57,-112.5198176873,38.5228514769
58,-112.4304703441,38.6568667664
59,-111.8427644556,39.2657887745
60,-111.6899307934,39.4241397156
61,-111.6367081371,40.5354068055
62,-111.8219498363,40.8355336984
63,-111.8233379361,40.8377826849
64,-112.0206192699,41.1574160828
65,-112.1503800121,41.4755313172
66,-112.5096666834,41.923113275
67,-112.5239151684,41.9408633484
68,-112.5788068536,41.9745995836
69,-113.2506607738,42.3875186219
70,-113.5924470277,42.5185083782
71,-113.678188852,42.5513689762
72,-115.252674934,43.1547915711
73,-115.7324112621,43.5569522156
74,-116.2669571605,43.8162295594
75,-116.3431889461,44.4263184031
76,-116.3463028637,44.451239325
77,-116.3153968257,44.6119878041
78,-116.2140396801,45.1391665711
79,-116.2263072257,45.223515472
80,-116.2583767547,45.4440183825
81,-116.2926529613,45.6796939148
82,-116.6373184887,46.1974551453
83,-117.0390518871,46.7531192078
84,-117.222218391,47.5231997742
85,-117.1428368881,47.592220308
86,-116.9106526117,47.7940996137
87,-116.669484016,48.0037905945
88,-116.5183965311,48.285988024
89,-116.5081316345,48.3051605414
90,-116.2766617504,48.7374942078
91,-117.0649918285,49.7689883484
92,-117.8849991527,50.3100650086
93,-117.9742935863,50.8806216492
94,-118.7555435863,51.8220889344
95,-120.8272598949,52.9213320984
96,-121.4053238598,53.7103945984
97,-122.6024250913,55.0591894091
98,-122.7602432934,55.2370059266
99,-123.1809819404,55.4741056275
100,-123.6742877629,55.7520992557
101,-123.8876236644,55.872320868
102,-124.8026627269,56.7003237977
103,-125.6452102429,57.4228579773
104,-125.8713272777,57.6167666687
105,-126.4714302168,58.2493942435
106,-126.888234016,58.6887881531
107,-127.1942032543,59.2149722352
108,-126.8926895824,59.4292056336
109,-126.5707670004,59.5779345131
110,-126.528065559,59.5976626648
111,-125.3586057725,59.3452942455
112,-125.0330094066,59.2750308289
113,-124.7388052661,59.5489662082
114,-124.5652359691,59.7105777039
